ID,Work Item,Type,Priority,Effort (Days),Component,Description,Dependencies,Original Item,Phase
A1,Azure Infrastructure Setup,Infrastructure,P0,3,Infrastructure,"Provision Azure resources: SQL DB, Blob Storage, Redis, Service Bus, Key Vault, App Insights",None,New,MVP
A2,Backend Boilerplate & Project Structure,Backend,P0,2,Main .NET API,"Initialize .NET 8 Web API project, setup DI, logging, EF Core, Blob SDK",A1,#7,MVP
A3,Authentication & Authorization,Backend,P0,2,Security,"Azure AD B2C integration, OAuth 2.0, JWT validation, RBAC middleware, role seeding",A2,#14 (partial),MVP
B1,SQL Database Schema Implementation,Backend,P0,3,Database,"Create all SQL tables, EF migrations, seed data (roles, controls), create indexes",A2,"#10, #11, #15, #16, #20, #25",MVP
B2,SQL JSON Tables Setup,Backend,P0,1,Database,"Create SQL tables with JSON columns (TransferMERData, ApplicationMetadata, UserActivityLogs)",A2,#20 (partial),MVP
B3,Blob Storage Configuration,Backend,P0,1,Storage,"Create blob containers (evidence-files, template-files), lifecycle policies, SAS tokens, soft delete",A1,#9 (partial),MVP
C1,User Management APIs,Backend,P0,2,User Service,"GET /users/me, GET /users, POST /users/{userId}/roles, Azure AD sync","B1, A3",#10 (partial),MVP
D1,Controls Management,Backend,P0,1,Control Service,"GET /controls, POST /controls, seed MER-13/MER-14/ROCC/EUC controls",B1,"#15, #16",MVP
D2,Template Management APIs,Backend,P0,3,Template Service,"GET /templates, POST /templates (multipart), PUT /templates/{id}, DELETE /templates/{id}","B1, B3",New,MVP
E1,Transfer Management APIs,Backend,P0,4,Transfer Service,"POST /transfers, GET /transfers, GET /transfers/{id}, PUT /transfers/{id}, store MER data in SQL JSON","B1, B2, D1",#21 (partial),MVP
E2,Requirements Management,Backend,P0,2,Transfer Service,"GET /transfers/{id}/requirements, PUT /requirements/{id}, auto-create requirements on submission",E1,New,MVP
F1,Evidence Upload APIs,Backend,P0,3,Evidence Service,"POST /evidence (multipart), upload to Blob Storage, generate SAS tokens, virus scanning","B1, B3","#9, #11",MVP
F2,Evidence Retrieval APIs,Backend,P0,2,Evidence Service,"GET /transfers/{id}/evidence, GET /evidence/queue, GET /evidence/{id}/download, preview",F1,#22,MVP
G1,Evidence Review Workflow,Backend,P0,3,Workflow Service,"POST /evidence/{id}/review, support APPROVE/REJECT/ESCALATE, update statuses, create audit trail","F2, H1",#23,MVP
G2,Transfer Review Workflow (MER),Backend,P0,3,Workflow Service,"POST /transfers/{id}/review, review entire MER submission, attachment decisions, overall decision","E1, H1",#24,MVP
G3,Escalation Workflow,Backend,P0,2,Workflow Service,"POST /transfers/{id}/escalate, POST /evidence/{id}/escalate, support Legal/Business, tag authorities",G1,#24 (partial),MVP
G4,Deputy Assignment,Backend,P1,2,Workflow Service,"POST /transfers/{id}/deputize, assign to Deputy-Legal/Deputy-Business, filter by assignedDeputy",G1,New,Production
H1,Audit Trail Service,Backend,P0,2,Audit Service,"Automatic audit logging middleware, GET /transfers/{id}/audit-trail, GET /evidence/{id}/audit-trail, store IP/user agent",B1,New,MVP
I1,Notification Service,Backend,P0,3,Notification Service,"GET /notifications, POST /notifications (internal), PUT /notifications/{id}/read, in-app notifications",B1,"#8, #25, #26",MVP
I2,Email Notifications,Backend,P0,2,Notification Service,"Azure Communication Services, email templates (approval/rejection/escalation), background job with Service Bus","I1, A1",#8 (partial),MVP
